ExecutionNumber,ParallelExecutionSurplusConditionTime0(ns),ParallelExecutionSurplusConditionTime1(ns),ParallelExecutionSurplusConditionTime2(ns),ParallelExecutionSurplusConditionTime3(ns),ParallelExecutionSurplusConditionTime4(ns),ParallelExecutionSurplusConditionTime5(ns)
0,368840900,260717300,271563300,276198200,296059400,319540000
1,362861800,265653100,254841400,274111600,277792700,309319300
2,370512500,362825200,254266400,270189900,295339700,340324900
3,380304700,255844500,266905500,284803000,291773800,330303100
4,368783400,273746400,255303000,271282600,284446500,319569200
5,671587800,378486700,253139800,269053300,279573500,316887800
6,379101200,257572200,255261600,265444800,289463800,324229300
7,358755400,364671400,262542100,263650200,288058800,324500700
8,360540600,360451700,268788100,266971400,292545600,331886600
9,404682700,303716000,250258300,265037300,281228600,325222500
10,470501600,252335400,262368700,274774600,296198200,337922800
11,384579900,398300300,319039000,293559200,305067700,362521000
12,367321100,263993100,266717400,264359600,293041600,364931900
13,432363300,351401100,290070700,271707600,295479500,341749900
14,462410900,258925000,252478500,267078000,287819800,326618900
15,379703500,390673500,251241200,268536700,289465400,329262100
16,367065500,296127400,255324400,266314800,284924100,325284300
17,383602000,394822000,256406800,265930600,284587600,326299200
18,360772400,401567100,255366700,258352000,289382700,334497900
19,366679100,255530200,257436500,261186100,295685100,356744600
20,368352200,256243500,255165300,263670100,290460300,321163200
21,367940700,296117900,261572500,261522400,291011700,322005000
22,388373100,263990900,254642800,265973300,280017300,337399100
23,369381500,256216400,260971700,263328400,280617400,353805800
24,392681100,361547400,252011700,274809900,288370000,316231600
25,376288700,366630100,269390100,265516600,299085900,326372200
26,404553000,268590600,256862900,261410300,288047600,344815300
27,393034100,414284100,256218200,261465500,300644900,328182100
28,374063900,379044200,253290400,267492500,285807900,324464500
29,396554500,381887600,253118400,261918300,276019800,343677600
30,363921600,397763000,259383200,262424000,278544900,323421400
31,386698500,411179000,248636800,271747100,284982900,315676000
32,360549600,281049900,268097600,266541500,274213400,324744700
33,359628200,366301500,255749000,268377400,288762800,348186600
34,432969800,378545300,251235400,272206800,278934500,336232300
35,388617600,362585100,255824800,262124500,287757400,333010600
36,359325300,260961700,254059100,266721800,276736100,332789200
37,390778600,265007700,252472900,257129200,295782500,334660100
38,383141500,401621500,250820800,266324800,285061700,312652100
39,392367300,261506800,255305300,273817600,299456600,319886800
