ExecutionNumber,ParallelMaxLevelConditionTime3(ns),ParallelMaxLevelConditionTime4(ns),ParallelMaxLevelConditionTime5(ns),ParallelMaxLevelConditionTime6(ns),ParallelMaxLevelConditionTime7(ns),ParallelMaxLevelConditionTime8(ns),ParallelMaxLevelConditionTime9(ns),ParallelMaxLevelConditionTime10(ns),ParallelMaxLevelConditionTime11(ns),ParallelMaxLevelConditionTime12(ns),ParallelMaxLevelConditionTime13(ns),ParallelMaxLevelConditionTime14(ns),ParallelMaxLevelConditionTime15(ns),ParallelMaxLevelConditionTime16(ns),ParallelMaxLevelConditionTime17(ns),ParallelMaxLevelConditionTime18(ns),ParallelMaxLevelConditionTime19(ns),ParallelMaxLevelConditionTime20(ns),ParallelMaxLevelConditionTime21(ns),ParallelMaxLevelConditionTime22(ns),ParallelMaxLevelConditionTime23(ns),ParallelMaxLevelConditionTime24(ns),ParallelMaxLevelConditionTime25(ns),ParallelMaxLevelConditionTime26(ns),ParallelMaxLevelConditionTime27(ns),ParallelMaxLevelConditionTime28(ns),ParallelMaxLevelConditionTime29(ns),ParallelMaxLevelConditionTime30(ns)
0,366417900,514908400,239727500,363603600,218950700,338648800,197973600,306398800,200935900,351420700,202679200,315294400,212485800,339419900,197822700,315883100,200257900,321986300,234192200,360466100,236513100,380072000,332342200,586402000,811099200,1513513000,3257281000,6568676400
1,372990000,369818900,231937400,329737900,202112200,308361700,193315800,301851400,191147200,299053100,201996500,300824300,191232500,305357600,189298500,296358200,193124400,297497600,199583300,325042400,221546400,366403900,323282100,568651900,771505100,1539174300,3213190600,6411479200
2,367333600,364525300,228033000,364302200,204597300,309210200,190274900,302016200,197178300,299004900,194910900,291922300,197233500,298446000,204920700,299768400,194284500,295519000,198456300,311913600,223775600,376596800,324693800,569599200,765551200,1542766100,3198139000,6306858300
3,355952600,372511700,228760500,367835900,202089600,309754100,191022300,319420100,195256300,295278400,190798800,295510500,192142400,293580500,195743900,301724000,194191900,314606700,211073900,311822000,229820600,380731300,340115100,611060400,828821300,1585577100,3144016100,6362608800
4,351919100,365153700,223568200,327346000,198499300,306348800,191017700,296056800,188686000,289507100,189606400,290589200,188253200,290100200,190531700,291125200,190566100,299015700,201686800,327312200,239415000,379062600,341424600,614280100,825508300,1580035400,3160380100,6370417800
5,377973900,365092600,224900400,328811800,205814700,307519200,192148000,294349200,192336700,290435300,188345600,293994700,191330700,290040700,189500600,292442700,190861500,300382100,203097600,310955600,227396400,373179000,347620400,625057900,823539200,1571274400,3153657000,6315283300
6,363999300,368729400,226920500,339225000,202856500,316235300,199594700,295965600,187849600,291827800,198436700,299581300,190577700,291010000,188944300,292577700,194769700,298353200,201862100,312210000,228212700,392822700,356691000,631881900,838160500,1592354100,3147639000,6309420500
7,376283400,364010700,222776100,314188100,196918100,310660000,189357900,295134800,192448300,307122900,189625900,290940200,187099100,293171500,190596200,296731300,192784500,296797000,201088900,312843900,230641700,375882000,344352700,609990700,830004500,1575696200,3151760800,6310971200
8,352554600,389555000,227041800,325848800,193885000,299918600,189129800,294833400,188854200,291413600,188639300,294076400,199127200,294937500,189944600,291221100,194540300,300776700,200312200,312719900,229021100,373227600,351461800,613549800,823182000,1595327700,3155111700,6375084400
9,364939400,370537300,224509500,330155500,198140600,303393900,192271100,300291100,189708200,289712500,190011500,289775800,189308500,289792200,192422700,310158100,190315400,302830900,199342400,311438100,226497700,376637200,348677400,616171700,828964000,1588233500,3159461500,6314075200
10,364318900,366926800,232986500,303309900,202745800,297427900,192249700,294059800,190371200,291492400,191221100,300894600,189118400,290407100,188155200,292238000,192492600,307808100,212824800,321555700,236617500,380857600,342386600,610657800,835004600,1582379100,3159353500,6328291200
11,370122600,389089600,235425800,332300600,203385600,313521600,201027300,312577500,199720800,305911000,198602200,296019400,189244300,301311500,194643900,350124900,213975200,333259900,217066300,345710300,262163900,421885000,370235500,649438200,928872800,1754985900,3179516200,6387532900
12,370049100,369424600,232295100,326050900,195899100,305136300,190638400,293057600,189100900,291612300,189856200,290668500,187429100,289769100,189177200,292821300,191305300,303437000,198918100,317388100,252650300,376378800,341998400,610673600,819997500,1579004700,3177023800,6367898600
13,362628700,370742900,231592900,347725800,197948900,315408100,200828000,299557600,195081400,294005400,190651300,299053200,191023100,300660000,189338100,300192800,194863200,305494500,203916800,315811300,236923400,384050600,364567700,630499800,837186000,1602099300,3172657200,6402000000
14,345289900,369563000,218267000,329055600,206261600,303091500,189588100,299872100,192046800,291081000,187957000,289448000,187582500,297737600,188172000,293233600,193521900,298817600,199858300,326829700,232578500,383214400,351134300,634801600,823180100,1569057000,3141018700,6394015300
15,365077300,371857200,219674600,326959800,198324500,300381400,195994900,306882100,189055600,290887400,198495000,290756100,188205500,293326400,188369400,291632900,191624700,298239900,202794200,316281300,227558300,371337900,343083400,607842400,845755300,1588671500,3134327000,6379929200
16,355178200,366055200,223324800,339193000,198540400,303323100,189891400,293484400,188552600,296533600,198927300,293526300,189971600,290829000,189745400,293335600,191531800,296729100,199422900,311262100,229599600,371507200,347183100,612796700,819577800,1596803300,3159297600,6386502700
17,364763500,371515800,224795700,313207700,192244200,298877900,188472000,295324700,190738800,291382400,187943600,288750700,188325200,312325600,187744900,291551000,191477600,297368000,198978000,317589600,231602400,375758800,343122100,622136500,817685600,1594318100,3165482400,6378988100
18,363641400,381810500,228744600,323199900,196154300,297076900,192122400,293987800,189086900,291001000,188526900,290919800,188187900,289826500,189854500,294209800,199996700,302898600,199112300,311180200,229327700,374066200,341072100,618886300,827216500,1581536200,3185455900,6377855000
19,364020700,366743900,233309000,329178000,195539900,300589600,189034500,296607600,189878300,290206900,187153100,290779000,187527800,292795400,191110600,293827900,191915400,298447000,205949700,325160000,228132400,373301400,344041600,621360400,819458700,1566338200,3159757600,6393163100
20,343206300,370971500,226439600,301329900,195351800,300952600,191735700,297223600,187001700,292958500,189096500,292174900,193826900,291126300,188267100,291809800,191846900,295977000,198741300,315558100,229769700,388924500,350217200,612335900,824115700,1577471500,3151806100,6361048100
21,352303900,366535900,227890800,315418000,191953500,314516400,189891000,293715900,188320300,289265800,188061600,295784600,190284700,291190000,188949500,290425400,191090000,295476600,200089700,311514800,229013500,386141300,374473900,639601900,851729100,1601719400,3162252400,6325558400
22,366629600,381583500,219862400,326363900,195934600,302125200,192582900,295733000,198238200,295364600,186773800,289244100,190124900,290575900,188342500,291227400,191087900,296946900,198163400,325145100,229406600,378456400,342091000,612464600,854916700,1582470600,3157568900,6363107100
23,347533200,369517500,228211300,339230600,196525800,296668600,190888300,294834800,188186700,290519900,192989800,303824500,195858800,297728300,188001500,292319700,190929000,297812200,199937800,312804700,230627100,373174500,343273700,619208700,818468800,1599748900,3168469800,6390811700
24,367468300,374731400,232775100,329276300,196989500,300942700,188923500,292731800,189176300,290504800,187646300,290888700,187737400,305722800,198303100,306055800,190159100,297638000,200078000,314296300,230486600,383536300,348253300,611432200,822638800,1596624100,3174471400,6385961200
25,375328100,370151800,224387800,308406900,198181800,298981300,192139400,292715800,188992700,290075300,187780500,290212400,187158400,289286300,190322000,291032400,192065600,302474600,211414600,311364700,232044500,371841600,343513100,607633400,823062300,1571900200,3145992000,6381290900
26,356841400,367186700,223979900,308870300,195811800,297773200,191528500,295901100,187661400,290004600,188362000,290437800,187451200,289902500,188617900,294033400,189974900,297604100,199698400,312639700,243809600,379178000,348238400,606594400,819451400,1577862000,3164373100,6381841400
27,371157900,364754800,224427100,316548200,198120400,305001300,191985100,291164800,187202100,302077400,187886300,289765800,188492200,292640900,189668200,290946200,190564800,299690600,203430500,310663900,226924500,375217600,345094000,625155100,820346800,1567464400,3155281800,6389732700
28,357859500,370031500,226115300,325608900,192397400,302484300,208208900,293540400,187830100,290784300,186976700,288691400,188776900,294952000,188278500,290640800,189606400,301071800,198419000,317943400,228445100,373370500,342650100,618670300,840619100,1577431500,3165250200,6386608900
29,349608200,372408200,220553300,328867900,193947700,296386200,190020400,295897800,204348600,290944300,187770200,288992200,190322800,291368000,188744400,291416700,189731600,298815600,198489200,313809200,227592000,379414100,349039900,604330300,832240600,1574125000,3187052300,6389526500
30,369110600,366141600,228621500,325684900,196726000,305145500,190213700,290711000,189364000,289597500,189738000,310252000,186525800,293724300,192401700,291526300,191288200,294965700,198599800,309869500,228374800,380663100,342161800,608850900,820977500,1600865900,3148351500,6344307500
31,365135900,372510100,227669600,331104800,203071400,295377600,190260600,292802500,187750800,291050400,187478300,289579700,187676400,291647000,193718200,304349300,191005100,295732000,204036600,312304300,229951200,374739800,339572700,611599100,818037300,1585632400,3173478300,6369417200
32,369620700,367376500,236923000,306805300,204738600,299242000,189357000,291574000,187089200,289801600,188821000,289641100,187023000,290673900,187732500,291995400,191732900,316254100,205683200,315921900,227778500,371966500,346129000,607486500,815496700,1570964300,3157692600,6417275300
33,369939800,422744100,226456500,328162900,195324900,299576200,188478600,290746200,186945600,288744600,187323600,292167100,187341100,289063400,188308300,294279000,191571800,297787400,198737900,318208100,239040300,379038600,340895600,610685100,823833500,1567012100,3149818100,6359091100
34,350064900,363306800,225895700,316985600,194133300,295379100,192255800,294134900,187378200,292015800,188139800,292294600,189544000,289304100,187838300,289769600,190376600,296412000,198661500,311493100,228975100,374263700,348945700,621657500,816073600,1574205300,3166544800,6363929300
35,349608800,365725100,221148900,329823900,195582500,303695700,200103000,293043100,187682700,289253900,186907200,290699400,186391500,290170200,188778300,290292100,190700500,295101500,198349800,320593800,227118600,377536000,339490700,609839700,846284200,1576070800,3172624800,6384770600
36,363418800,371138300,230336400,309068600,201187700,296397700,190597800,290032000,194692800,305803800,187517800,288747200,186761900,288434100,189006400,291744900,190282700,297180000,198994700,315084500,230766600,386888800,339126700,608395900,826457700,1586981400,3177133300,6343969700
37,358336600,367362100,231980000,332138500,195120100,294803300,189009100,292095900,188359100,290505100,188385400,291025800,193290100,301214700,188489500,291381500,192370700,295679700,198952700,312375700,227233900,371766000,343035000,605805100,822286100,1596257000,3150624000,6397342700
38,362876100,368040000,225038300,323831500,192763400,304016600,191879900,298288600,187250400,290999200,187568800,292234200,187609400,292497700,187819500,299340900,200887600,297623800,199165100,312336400,228914700,373526400,342514500,608416100,824773500,1573171700,3171825200,6365320000
39,346907400,371604000,224241400,313109400,197574500,301475400,188117700,291432400,187526400,291586500,187191700,290905100,187797700,290276200,188016600,289357400,191031900,297776600,204749200,328242800,229774600,373662000,344718200,642406400,826878100,1574134700,3175349700,6410088500
