ExecutionNumber, SequencialConditionTime(ns),ParallelMaxLevelConditionTime15(ns),ParallelExecutionSurplusConditionTime2(ns)
0,3296160200,212485800,271563300
1,3772442400,191232500,254841400
2,3751451400,197233500,254266400
3,3732321800,192142400,266905500
4,3734623700,188253200,255303000
5,3723376700,191330700,253139800
6,3740207000,190577700,255261600
7,3722450600,187099100,262542100
8,3741409200,199127200,268788100
9,3748832200,189308500,250258300
10,3785232000,189118400,262368700
11,3801639600,189244300,319039000
12,3769954300,187429100,266717400
13,3730669300,191023100,290070700
14,3751741000,187582500,252478500
15,3744573900,188205500,251241200
16,3736934500,189971600,255324400
17,3736930700,188325200,256406800
18,3747249100,188187900,255366700
19,3717109800,187527800,257436500
20,3724817600,193826900,255165300
21,3746794700,190284700,261572500
22,3731765200,190124900,254642800
23,3740153500,195858800,260971700
24,3750321100,187737400,252011700
25,3741360500,187158400,269390100
26,3720484900,187451200,256862900
27,3731255900,188492200,256218200
28,3748436400,188776900,253290400
29,3751358800,190322800,253118400
30,3725946700,186525800,259383200
31,3744022000,187676400,248636800
32,3733462800,187023000,268097600
33,3732801700,187341100,255749000
34,3726283200,189544000,251235400
35,3732089600,186391500,255824800
36,3751693600,186761900,254059100
37,3727927500,193290100,252472900
38,3742047900,187609400,250820800
39,3751973000,187797700,255305300
