ExecutionNumber,KnapsackGAActorModelTime(ns)
0,215171754500
1,220152485300
2,218806551700
3,214723556200
4,215584205000
5,221817015000
6,220286000400
7,217525040900
8,217486559600
9,216509976700
10,221021313400
11,214972484800
12,212323850000
13,219754376600
14,219170942200
15,216267025400
16,217979977500
17,214900051200
18,218196542200
19,216325895000
20,216519526000
21,216448441900
22,219170978700
23,218060147300
24,214542874600
25,222633177200
26,216302156200
27,220775023700
28,221259087100
29,216604650700
